Mes,Cliente,CodProducto,compro,compro_mes_ant,veces_comprado,mes_idx,freq_compra,Mes_ant,ventas_cliente_ant,productos_ant,target,Frecuencia de visita,oficina_enc,seg5_enc,seg4_enc,producto_enc,prob_compra,ranking,Oficina de ventas,Denominación Gr#Clientes 4,Denominación Gr#Clientes 5
202605,3001043,M823,0,0,0.0,5,0.0,202604.0,-34728.57,0.0,0,2,2,9,4,5,0.08660310630456693,1,Bogota,ORO,MODERNO
202605,3001043,M827,0,0,0.0,5,0.0,202604.0,-34728.57,0.0,0,2,2,9,4,6,0.08660310630456693,2,Bogota,ORO,MODERNO
202605,3001043,M509,0,0,0.0,5,0.0,202604.0,-34728.57,0.0,0,2,2,9,4,3,0.07820887458511182,3,Bogota,ORO,MODERNO
202605,3001044,M898,0,0,0.0,5,0.0,202604.0,-938642.82,0.0,0,2,2,9,4,9,0.15190816755442818,1,Bogota,ORO,MODERNO
202605,3001044,M823,0,0,0.0,5,0.0,202604.0,-938642.82,0.0,0,2,2,9,4,5,0.1224849849764251,2,Bogota,ORO,MODERNO
202605,3001044,M827,0,0,0.0,5,0.0,202604.0,-938642.82,0.0,0,2,2,9,4,6,0.1224849849764251,3,Bogota,ORO,MODERNO
202605,3001045,M823,0,0,0.0,5,0.0,202604.0,-138914.28,0.0,0,2,2,9,4,5,0.09344344317205107,1,Bogota,ORO,MODERNO
202605,3001045,M827,0,0,0.0,5,0.0,202604.0,-138914.28,0.0,0,2,2,9,4,6,0.09344344317205107,2,Bogota,ORO,MODERNO
202605,3001045,M509,0,0,0.0,5,0.0,202604.0,-138914.28,0.0,0,2,2,9,4,3,0.08444749281210547,3,Bogota,ORO,MODERNO
202605,3001213,M898,0,0,0.0,5,0.0,202604.0,7605768.0,2.0,0,2,2,9,4,9,0.10193227561522392,1,Bogota,ORO,MODERNO
202605,3001213,M823,0,0,0.0,5,0.0,202604.0,7605768.0,2.0,0,2,2,9,4,5,0.08743503296167557,2,Bogota,ORO,MODERNO
202605,3001213,M827,0,0,0.0,5,0.0,202604.0,7605768.0,2.0,0,2,2,9,4,6,0.08743503296167557,3,Bogota,ORO,MODERNO
202605,3001214,M898,0,0,0.0,5,0.0,202604.0,5527617.0,2.0,0,2,2,9,4,9,0.10193227561522392,1,Bogota,ORO,MODERNO
202605,3001214,M823,0,0,0.0,5,0.0,202604.0,5527617.0,2.0,0,2,2,9,4,5,0.08743503296167557,2,Bogota,ORO,MODERNO
202605,3001214,M827,0,0,0.0,5,0.0,202604.0,5527617.0,2.0,0,2,2,9,4,6,0.08743503296167557,3,Bogota,ORO,MODERNO
202605,3001215,M898,0,0,0.0,5,0.0,202604.0,12695220.0,2.0,0,2,2,9,4,9,0.09480925756553431,1,Bogota,ORO,MODERNO
202605,3001215,M823,0,0,0.0,5,0.0,202604.0,12695220.0,2.0,0,2,2,9,4,5,0.08360959952688547,2,Bogota,ORO,MODERNO
202605,3001215,M827,0,0,0.0,5,0.0,202604.0,12695220.0,2.0,0,2,2,9,4,6,0.08360959952688547,3,Bogota,ORO,MODERNO
202605,3001216,M898,0,0,0.0,5,0.0,202604.0,7072776.0,2.0,0,5,2,9,4,9,0.11230456574330666,1,Bogota,ORO,MODERNO
202605,3001216,M823,0,0,0.0,5,0.0,202604.0,7072776.0,2.0,0,5,2,9,4,5,0.08395110752009238,2,Bogota,ORO,MODERNO
202605,3001216,M827,0,0,0.0,5,0.0,202604.0,7072776.0,2.0,0,5,2,9,4,6,0.08395110752009238,3,Bogota,ORO,MODERNO
202605,3001295,M500,0,1,2.0,5,0.4,202604.0,194285.75999999998,2.0,0,5,2,11,9,2,0.4207338515671151,1,Bogota,SUPERETE,SUP. INDEPENDIENTE
202605,3001295,M511,0,0,0.0,5,0.0,202604.0,194285.75999999998,2.0,0,5,2,11,9,4,0.08469357592886208,2,Bogota,SUPERETE,SUP. INDEPENDIENTE
202605,3001295,M898,0,0,0.0,5,0.0,202604.0,194285.75999999998,2.0,0,5,2,11,9,9,0.04174568179874479,3,Bogota,SUPERETE,SUP. INDEPENDIENTE
202605,3001302,M500,0,1,2.0,5,0.4,202604.0,32057.16,1.0,0,5,2,11,9,2,0.41137278852918796,1,Bogota,SUPERETE,SUP. INDEPENDIENTE
202605,3001302,M823,0,0,0.0,5,0.0,202604.0,32057.16,1.0,0,5,2,11,9,5,0.17978174097560295,2,Bogota,SUPERETE,SUP. INDEPENDIENTE
202605,3001302,M827,0,0,0.0,5,0.0,202604.0,32057.16,1.0,0,5,2,11,9,6,0.178923881742824,3,Bogota,SUPERETE,SUP. INDEPENDIENTE
202605,3001306,M898,0,0,3.0,5,0.6,202604.0,428076.24,2.0,0,5,2,11,8,9,0.7115723599891258,1,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001306,M827,0,0,1.0,5,0.2,202604.0,428076.24,2.0,0,5,2,11,8,6,0.41770791912756955,2,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001306,M500,0,0,1.0,5,0.2,202604.0,428076.24,2.0,0,5,2,11,8,2,0.37121723812090046,3,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001310,M823,0,0,1.0,5,0.2,202604.0,17971.44,1.0,0,5,2,11,3,5,0.3775860852636751,1,Bogota,MINIMERCADO,SUP. INDEPENDIENTE
202605,3001310,M827,0,0,0.0,5,0.0,202604.0,17971.44,1.0,0,5,2,11,3,6,0.16069339530723437,2,Bogota,MINIMERCADO,SUP. INDEPENDIENTE
