Deudor;Población;Frecuencia de visita;Desde centro;Oficina de ventas;Denominación Gr#Clientes 5;Denominación Gr#Clientes 4
3001043;BOGOTÁ D.C.;2;6038;Bogota;MODERNO;ORO
3001044;BOGOTÁ D.C.;2;6038;Bogota;MODERNO;ORO
3001045;BOGOTÁ D.C.;2;6038;Bogota;MODERNO;ORO
3001194;BOGOTÁ D.C.;2;6038;Bogota;MODERNO;ORO
3001204;FUNZA;9;6038;Bogota;MODERNO;ORO
3001213;BOGOTÁ D.C.;2;6038;Bogota;MODERNO;ORO
3001214;BOGOTÁ D.C.;2;6038;Bogota;MODERNO;ORO
3001215;BOGOTÁ D.C.;2;6038;Bogota;MODERNO;ORO
3001216;VILLAVICENCIO;5;6038;Bogota;MODERNO;ORO
3001295;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3001302;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3001306;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3001310;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3001322;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3001326;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3001327;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3001349;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3001376;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3001385;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3001395;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3001403;BOGOTÁ D.C.;2;6038;Bogota;CAD. REGIONALES;ORO
3001404;BOGOTÁ D.C.;5;6038;Bogota;CAD. REGIONALES;ORO
3001405;BOGOTÁ D.C.;5;6038;Bogota;CAD. REGIONALES;ORO
3001406;BOGOTÁ D.C.;5;6038;Bogota;CAD. REGIONALES;ORO
3001408;MOSQUERA;3;6038;Bogota;CAD. REGIONALES;ORO
3001425;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3001455;BOGOTÁ D.C.;5;6038;Bogota;MODERNO;ORO
3001503;BOGOTÁ D.C.;5;6038;Bogota;CAD. REGIONALES;ORO
3001563;BOGOTÁ D.C.;2;6038;Bogota;MODERNO;ORO
3001565;BOGOTÁ D.C.;2;6038;Bogota;MODERNO;ORO
3001604;BOGOTÁ D.C.;2;6038;Bogota;MODERNO;ORO
3001608;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3001609;BOGOTÁ D.C.;5;6038;Bogota;MAYORISTAS;PLATA
3001610;BOGOTÁ D.C.;2;6038;Bogota;MAYORISTAS;ORO
3001634;BOGOTÁ D.C.;2;6038;Bogota;MAYORISTAS;SEGMENTO 1
3001653;BOGOTÁ D.C.;2;6038;Bogota;MAYORISTAS;ORO
3001662;BOGOTÁ D.C.;2;6038;Bogota;MAYORISTAS;ORO
3001672;BOGOTÁ D.C.;2;6038;Bogota;MAYORISTAS;ORO
3001685;BOGOTÁ D.C.;2;6038;Bogota;MAYORISTAS;ORO
3001687;BOGOTÁ D.C.;2;6038;Bogota;MAYORISTAS;ORO
3001703;BOGOTÁ D.C.;5;6038;Bogota;MAYORISTAS;BRONCE
3001712;BOGOTÁ D.C.;5;6038;Bogota;MODERNO;ORO
3001718;GIRARDOT;5;6038;Bogota;MODERNO;ORO
3001721;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3001722;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3001747;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3001759;SOACHA;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3001760;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3001767;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3001769;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3001780;BOGOTÁ D.C.;5;6038;Bogota;CAD. REGIONALES;ORO
